name,movie_id
利刃出鞘,30318116
惊天营救,30314127
校园情圣,33420285
肖申克的救赎,1292052
千与千寻,1291561
少年的你,30166972
疯狂动物城,25662329
哪吒之魔童降世,26794435
我不是药神,26752088
误杀,30176393
摔跤吧！爸爸,26387939
泰坦尼克号,1292722
怦然心动,3319755
这个杀手不太冷,1295644
流浪地球,26266893
霸王别姬,1291546
阿甘正传,1292720
寻梦环游记,20495023
你的名字。,26683290
三傻大闹宝莱坞,3793023
楚门的世界,1292064
大话西游之大圣娶亲,1292213
让子弹飞,3742360
海上钢琴师,1292001
盗梦空间,3541415
绿皮书,27060077
饥饿站台,34805219
绅士们,30211998
寄生虫,27010768
我和我的祖国,32659890
釜山行,25986180
龙猫,1291560
当幸福来敲门,1849031
复仇者联盟4：终局之战,26100958
大话西游之月光宝盒,1299398
忠犬八公的故事,3011091
何以为家,30170448
放牛班的春天,1291549
头号玩家,4920389
唐伯虎点秋香,1306249
诛仙1,25779217
西虹市首富,27605698
星际穿越,1889243
哈利·波特与魔法石,1295038
小丑,27119724
功夫,1291543
飞屋环游记,2129039
少年派的奇幻漂流,1929463
看不见的客人,26580232
阿凡达,1652587
唐人街探案2,26698897
调音师,30334073
机器人总动员,2131459
红海行动,26861685
无间道,1307914
夏洛特烦恼,25964071
神偷奶爸,3287562
超能陆战队,11026735
哈尔的移动城堡,1308807
倩女幽魂：人间情,30466860
战狼2,26363254
飞驰人生,30163509
辛德勒的名单,1295124
美丽人生,1292063
中国机长,30295905
驴得水,25921812
复仇者联盟3：无限战争,24773958
海蒂和爷爷,25958717
美人鱼,19944106
剪刀手爱德华,1292370
唐人街探案,26311973
无名之辈,27110296
喜剧之王,1302425
初恋这件小事,4739952
天空之城,1291583
致命ID,1297192
哈利·波特与密室,1296996
狮子王,1301753
蝙蝠侠：黑暗骑士,1851857
末代皇帝,1293172
触不可及,6786002
西西里的美丽传说,1292402
哈利·波特与阿兹卡班的囚徒,1291544
哈利·波特与火焰杯,1309055
Hello！树先生,4135710
复仇者联盟,1866479
天气之子,30402296
罗马假日,1293839
一出好戏,26985127
芳华,26862829
钢铁侠,1432146
熔炉,5912992
九品芝麻官,1297518
哈利·波特与死亡圣器(下),3011235
猫鼠游戏,1305487
妖猫传,5350027
教父,1291841
毒液：致命守护者,3168101
那些年，我们一起追的女孩,4920528
海王,3878007
复仇者联盟2：奥创纪元,10741834
V字仇杀队,1309046
奇异博士,3025375
布达佩斯大饭店,11525673
天使爱美丽,1292215
疯狂原始人,1907966
天才枪手,27024903
指环王1：魔戒再现,1291571
哈利·波特与凤凰社,1457217
本杰明·巴顿奇事,1485260
终结者：黑暗命运,27109633
美国队长,2138838
羞羞的铁拳,27038183
素媛,21937452
无问西东,6874741
倩女幽魂,1297447
蝴蝶效应,1292343
蜘蛛侠：英雄归来,24753477
加勒比海盗,1298070
狩猎,30182726
蜘蛛侠：英雄远征,26931786
哈利·波特与死亡圣器(上),2051007
白蛇：缘起,30331149
活着,1292365
钢铁侠3,3231742
哈利·波特与混血王子,1433330
美国队长3,25820460
雷神,1866471
悲惨世界,33417030
疯狂的石头,1862151
大鱼海棠,5045678
囧妈,30306570
隐形人,2364086
七月与安生,25827935
钢铁侠2,3066739
蚁人,1866473
指环王3：王者无敌,1291552
七宗罪,1292223
人再囧途之泰囧,10574622
闻香识女人,1298624
无双,26425063
傲慢与偏见,1418200
指环王2：双塔奇兵,1291572
沉默的羔羊,1293544
冰雪奇缘2,25887288
血战钢锯岭,26325320
邪不压正,26366496
疯狂的外星人,25986662
雷神3：诸神黄昏,25821634
禁闭岛,2334904
爱乐之城,25934014
银河护卫队,7065154
湄公河行动,25815034
黑豹,6390825
美国队长2,6390823
色，戒,1828115
冰雪奇缘,4202982
驯龙高手,2353023
小偷家族,27622447
黑客帝国,1291843
惊奇队长,26213252
银河护卫队2,25937854
捉妖记2,26575103
情书,1292220
7号房的礼物,10777687
雷神2：黑暗世界,6560058
小萝莉的猴神大叔,26393561
美丽心灵,1306029
乘风破浪,26862259
消失的爱人,21318488
半个喜剧,30269016
蚁人2：黄蜂女现身,26636712
罗小黑战记,26709258
重庆森林,1291999
恐怖游轮,3011051
老炮儿,24751756
贫民窟的百万富翁,2209573
82年生的金智英,30327842
冰川时代,1291578
穿普拉达的女王,1482072
请以你的名字呼唤我,26799731
捉妖记,25723907
致命魔术,1780330
超时空同居,27133303
无敌浩克,1866475
我的少女时代,26366465
怪兽电力公司,1291579
乱世佳人,1300267
萤火之森,5989818
悬崖上的金鱼姬,1959877
影,4864908
叶问4：完结篇,26885074
辩护人,21937445
心灵捕手,1292656
杀人回忆,1300299
爱在黎明破晓前,1296339
动物世界,26925317
小妇人,26348103
超体,24404677
实习生,10594965
神秘巨星,26942674
穿条纹睡衣的男孩,3008247
一条狗的使命,6873143
西游记之大圣归来,26277313
惊天魔盗团,6517421
蝙蝠侠：黑暗骑士崛起,3395373
雪国列车,3071441
魔女宅急便,1307811
乔乔的异想世界,30170546
奇迹男孩,26787574
黑天鹅,1978709
寻龙诀,3077412
低俗小说,1291832
菊次郎的夏天,1293359
缝纫机乐队,26926321
婚姻故事,27202818
西游降魔篇,5308265
射雕英雄传之东成西就,1316510
搏击俱乐部,1292000
火星救援,25864085
大闹天宫,1418019
恋恋笔记本,1309163
音乐之声,1294408
长江七号,1961963
时空恋旅人,10577869
被嫌弃的松子的一生,1787291
狮子王,26884354
黑客帝国2：重装上阵,1304141
了不起的盖茨比,3364223
死亡诗社,1291548
快把我哥带走,30122633
1917,30252495
饮食男女,1291818
幽灵公主,1297359
阳光普照,30292777
中国合伙人,11529526
银河补习班,30282387
幸福终点站,1292274
断背山,1418834
三块广告牌,26611804
狗十三,25716096
玩具总动员3,1858711
起风了,6791750
烈火英雄,30221757
源代码,3075287
南方车站的聚会,27668250
波西米亚狂想曲,5300054
小森林 冬春篇,25814707
新喜剧之王,4840388
借东西的小人阿莉埃蒂,4202302
我的个神啊,10741643
蜘蛛侠：平行宇宙,26374197
英雄本色,1297574
功夫熊猫3,11589036
玩具总动员4,6850547
重返20岁,25870084
神奇动物在哪里,25726614
小森林 夏秋篇,25814705
拯救大兵瑞恩,1292849
从你的全世界路过,26280528
春光乍泄,1292679
头脑特工队,10533913
无敌破坏王,6534248
敦刻尔克,26607693
功夫熊猫,1783457
爆裂鼓手,25773932
火口的两人,30405087
王牌特工：特工学院,24405378
人在囧途,4237879
速度与激情7,23761370
完美陌生人,26614893
流感,10432911
黑客帝国3：矩阵革命,1302467
从不，很少，有时，总是,33411505
烈日灼心,24719063
地久天长,26715636
东邪西毒,1292328
阳光姐妹淘,4917726
滚蛋吧！肿瘤君,26289144
美女与野兽,25900945
爱在午夜降临前,10808442
惊天魔盗团2,25662337
海街日记,25895901
攀登者,30413052
垫底辣妹,26259677
甜蜜蜜,1305164
一个叫欧维的男人决定去死,26628357
爱在日落黄昏时,1291990
教父2,1299131
大赢家,34670218
后会无期,25805741
侧耳倾听,1297052
速度与激情8,26260853
花样年华,1291557
十二怒汉,1293182
加勒比海盗5：死无对证,6311303
理查德·朱维尔的哀歌,25842038
阳光灿烂的日子,1291875
金陵十三钗,3649049
记忆碎片,1304447
宠爱,33417046
小王子,20645098
大鱼,1291545
港囧,25710912
嫌疑人X的献身,26606743
荒蛮故事,24750126
阿丽塔：战斗天使,1652592
前任3：再见前任,26662193
被解救的姜戈,6307447
X战警：黑凤凰,26667010
恐怖直播,21360417
天才少女,26593587
X战警：天启,25786060
窃听风暴,1900841
死侍2：我爱我家,26588308
真爱至上,1292401
百鸟朝凤,10831445
失恋33天,4873490
遗愿清单,1867345
金刚狼3：殊死一战,25765735
悲伤逆流成河,27102569
小时代,20376577
北京遇上西雅图,10574468
霍比特人3：五军之战,2973079
受益人,30299311
少林足球,1297747
左耳,25745752
再次出发之纽约遇见你,6874403
钢琴家,1296736
死侍,3718279
心花路放,25717233
房间,25724855
彗星来的那一夜,25807345
风之谷,1291585
模仿游戏,10463953
过春天,27191431
喜欢你,26816383
网络谜踪,27615441
两杆大烟枪,1293350
亲爱的,25798222
流浪猫鲍勃,26685451
疯狂的麦克斯4：狂暴之路,3592854
青蛇,1303394
记忆大师,25884801
神偷奶爸2,4915857
新世界,10437779
暮光之城,2268359
霍比特人2：史矛革之战,11606328
霍比特人1：意外之旅,1966182
加勒比海盗3：世界的尽头,1418192
变形金刚,1794171
一代宗师,3821067
沉睡魔咒2,26426056
X战警,1295250
纵横四海,1295409
后来的我们,26683723
神偷奶爸3,25812712
小鞋子,1303021
李茶的姑妈,27092785
战狼,24753810
X战警：第一战,3168089
秒速5厘米,2043546
鬼子来了,1291858
教父3,1294240
蜘蛛侠,1306612
血观音,27113517
闪光少女,26790961
双子杀手,3097572
杀死比尔,1291580
老师·好,27663742
海边的曼彻斯特,25980443
心迷宫,25917973
燃烧女子的肖像,30257175
黑水,30331959
勇敢的心,1294639
大侦探皮卡丘,26835471
玩具总动员,1291575
X战警：逆转未来,10485647
狩猎的时间,27621498
起跑线,26942631
查理和巧克力工厂,1309101
帕丁顿熊2,26340419
X战警2,1305724
侏罗纪世界2,26416062
红辣椒,1865703
水形物语,26752852
无敌破坏王2：大闹互联网,20438964
爆炸新闻,30289194
我是山姆,1306861
E.T. 外星人,1294638
沉睡魔咒,4301224
X战警3：背水一战,1401524
头文字D,1329562
白日梦想家,2133323
岁月神偷,3792799
暴裂无声,26647117
误杀瞒天记,26419637
神奇女侠,1578714
朱迪,27179039
分手大师,24879858
卧虎藏龙,1301168
煎饼侠,25895276
1/2的魔法,30401849
国产凌凌漆,1307739
加勒比海盗4：惊涛怪浪,3227410
极速车王,6538866
超凡蜘蛛侠,2129132
谍影重重,1304102
阿拉丁,26891256
爱丽丝梦游仙境,2336785
爱尔兰人,6981153
阿飞正传,1305690
宝贝计划,1859036
匆匆那年,25779218
新龙门客栈,1292287
大佛普拉斯,27059130
僵尸世界大战,2132473
狼少年,6844868
侏罗纪世界,10440138
绣春刀II：修罗战场,26270502
碟中谍6：全面瓦解,26336252
告白,4268598
蝙蝠侠：侠影之谜,1309069
神奇动物：格林德沃之罪,26147417
小姐,25977027
夏目友人帐,27166442
来电狂响,30377703
终结者2：审判日,1291844
天书奇谭,1428581
荒野猎人,5327268
南山的部长们,30241298
金刚狼2,3718424
列夫·朗道：娜塔莎,34960201
逃学威龙,1302090
食神,1293351
赌神,1300883
陈情令国风演唱会,34973638
超凡蜘蛛侠2,6082518
天下无贼,1291550
小黄人大眼萌,11624706
蜘蛛侠2,1308570
血钻,1428175
速度与激情6,6537500
大护法,26811587
天堂电影院,1291828
闪灵,1292225
言叶之庭,20470074
玩具总动员2,1291574
小时代3：刺金时代,24847340
人工智能,1302827
电锯惊魂,1417598
谍影重重3,1578507
美国往事,1292262
超脱,5322596
华尔街之狼,2997076
萤火虫之墓,1293318
速度与激情5,4286017
暮光之城2：新月,3148027
饥饿游戏,3592853
追龙,26425068
第九区,3006772
十二生肖,4212172
速度与激情,1304899
武状元苏乞儿,1297863
蜘蛛侠3,1418189
狩猎,6985810
香水,1760622
猩球崛起,3274505
无间道2,1307106
碟中谍4,3068206
无人区,3804891
谁先爱上他的,27119586
大内密探零零发,1329936
谍影重重2,1308767
忠犬八公物语,1959195
北京遇上西雅图之不二情书,26322792
我是证人,26313973
赎罪,1950148
不能说的秘密,2124724
速度与激情：特别行动,27163278
燃烧,26842702
一条狗的使命2,27074316
东方快车谋杀案,25790761
小鬼当家,1293088
一天,4191644
遇见你之前,25929151
狄仁杰之四大天王,25882296
悟空传,26035290
生化危机,1306809
扫毒2天地对决,30171425
小时代4：灵魂尽头,24847343
使徒行者2：谍影行动,30423193
陈情令之乱魄,34964056
我是传奇,1820156
我的野蛮女友,1292286
史密斯夫妇,1309199
速度与激情2,1307442
终结者,1300656
好莱坞往事,27087724
变形金刚2,2146991
环太平洋,5323968
湮灭,26384741
小时代2：青木时代,24721493
速度与激情4,2132930
猛禽小队和哈莉·奎茵,30160393
被光抓走的人,30394535
超人总动员2,25849049
暮光之城3：月食,3289086
绣春刀,24745500
绝杀慕尼黑,27024959
变形金刚5：最后的骑士,25824686
无间道3：终极无间,1307694
摩登时代,1294371
红猪,1291838
勇敢者游戏2：再战巅峰,30128985
致青春·原来你还在这里,26290642
孤儿怨,3011308
哪吒闹海,1307315
同桌的妳,24843198
罗生门,1291879
叶问,3041806
变形金刚4：绝迹重生,7054604
卢旺达饭店,1291822
明日边缘,4746257
暮光之城4：破晓(上),3289081
青春派,24735062
爱情公寓,24852545
绿里奇迹,1300374
山楂树之恋,4151110
碟中谍5：神秘国度,10727641
催眠大师,24743711
春潮,27186348
无人知晓,1292337
黑衣人,1301445
速度与激情3：东京漂移,1652618
解救吾先生,25798448
他是龙,26726098
功夫熊猫2,3233635
海底总动员,1291586
恶人传,30211551
变形金刚3,3610047
神话,1307023
爱丽丝梦游仙境2：镜中奇遇记,21441132
无耻混蛋,1438652
孟买酒店,26794701
爱宠大机密,21817627
百变星君,1300498
一一,1292434
小小的愿望,30235440
王牌特工2：黄金圈,26378579
猩球崛起2：黎明之战,7046723
穿越时空的少女,1937946
假如爱有天意,1304073
侏罗纪公园,1292523
驯龙高手2,4824512
澳门风云3,26334559
坏教育,30182877
三生三世十里桃花,25823277
终结者：创世纪,3338862
蒙上你的眼,27092648
“大”人物,26816076
心理罪之城市之光,26774722
只有芸知道,33436135
整蛊专家,1299680
博物馆奇妙夜,1835843
恶棍天使,26290365
瞒天过海：美人计,26654269
国王的演讲,4023638
西行纪之再见悟空,35034171
